	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	location_sampletype	Locationtype_fishtype	sampletype_speciestype	Diet	Diet_Classification	Habitats	Fake
G231	Lake_Ontario	3	42.61	145	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	158
G235	Lake_Ontario	3	45.41	147	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	159
G237	Lake_Ontario	3	45.39	146	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	160
G241	Lake_Ontario	3	41.89	146	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	161
G243	Lake_Ontario	3	39.29	143	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	162
G244	Lake_Ontario	3	44.14	148	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	163
G245	Lake_Ontario	3	46.92	149	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	164
G248	Lake_Ontario	3	39.54	137	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	165
G249	Lake_Ontario	3	38.39	140	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	166
G250	Lake_Ontario	3	42.16	147	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	167
G254	Lake_Ontario	3	36.36	142	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	168
G255	Lake_Ontario	3	47.26	146	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	169
G256	Lake_Ontario	3	41.89	146	Gut	Round_Goby	Lake_OntarioGut	Lake_OntarioRound_Goby	GutRound_Goby	Invertivore	B	Benthic	170
G289	Detroit_River	1	6.5	85	Gut	Gizzard_Shad	Detroit_RiverGut	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	A	Pelagic	171
G290	Detroit_River	1	4.7	75	Gut	Gizzard_Shad	Detroit_RiverGut	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	A	Pelagic	172
G291	Detroit_River	1	8.1	100	Gut	Gizzard_Shad	Detroit_RiverGut	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	A	Pelagic	173
G292	Detroit_River	1	4.2	80	Gut	Gizzard_Shad	Detroit_RiverGut	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	A	Pelagic	174
G293	Detroit_River	1	8.1	105	Gut	Gizzard_Shad	Detroit_RiverGut	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	A	Pelagic	175
G294	Detroit_River	1	11.2	100	Gut	Gizzard_Shad	Detroit_RiverGut	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	A	Pelagic	176
G295	Detroit_River	1	4.9	80	Gut	Gizzard_Shad	Detroit_RiverGut	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	A	Pelagic	177
G296	Detroit_River	1	23	110	Gut	Gizzard_Shad	Detroit_RiverGut	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	A	Pelagic	178
G297	Detroit_River	1	16	100	Gut	Gizzard_Shad	Detroit_RiverGut	Detroit_RiverGizzard_shad	GutGizzard_Shad	Herbivore	A	Pelagic	179
G302	Detroit_River	1	14	89	Gut	White_Sucker	Detroit_RiverGut	Detroit_RiverWhite_Sucker	GutWhite_Sucker	Invertivore_detritivore	D	Benthic	180
G303	Detroit_River	1	6.4	80	Gut	White_Sucker	Detroit_RiverGut	Detroit_RiverWhite_Sucker	GutWhite_Sucker	Invertivore_detritivore	D	Benthic	181
G304	Detroit_River	1	2.4	50	Gut	Rock_Bass	Detroit_RiverGut	Detroit_RiverRock_Bass	GutRock_Bass	Invertivore_carnivores	C	Benthopelagic	182
G305	Detroit_River	1	2	60	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	183
G306	Detroit_River	1	3.2	65	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	184
G307	Detroit_River	1	3.1	65	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	185
G308	Detroit_River	1	3.5	70	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	186
G309	Detroit_River	1	2.5	65	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	187
G310	Detroit_River	1	3	70	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	188
G311	Detroit_River	1	2.5	65	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	189
G312	Detroit_River	1	3.5	75	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	190
G313	Detroit_River	1	2.5	65	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	191
G314	Detroit_River	1	2.5	65	Gut	Yellow_Perch	Detroit_RiverGut	Detroit_RiverYellow_perch	GutYellow_perch	Invertivore_carnivores	C	Benthopelagic	192
G315	Detroit_River	1	241	300	Gut	White_Sucker	Detroit_RiverGut	Detroit_RiverWhite_Sucker	GutWhite_Sucker	Invertivore_detritivore	D	Benthic	193
G317	Detroit_River	1	90	180	Gut	Freshwater_Drum	Detroit_RiverGut	Detroit_RiverFreshwater_drum	GutFreshwater_drum	Invertivore_carnivores	C	Benthic	194
G318	Detroit_River	1	13.4	90	Gut	Pumpkinseed	Detroit_RiverGut	Detroit_RiverPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	195
G340	Detroit_River	1	46	130	Gut	Pumpkinseed	Detroit_RiverGut	Detroit_RiverPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	196
G342	Detroit_River	1	34.6	150	Gut	White_Sucker	Detroit_RiverGut	Detroit_RiverWhite_Sucker	GutWhite_Sucker	Invertivore_detritivore	D	Benthic	197
G343	Detroit_River	1	7	90	Gut	White_Sucker	Detroit_RiverGut	Detroit_RiverWhite_Sucker	GutWhite_Sucker	Invertivore_detritivore	D	Benthic	198
G345	Detroit_River	1	46	130	Gut	Pumpkinseed	Detroit_RiverGut	Detroit_RiverPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	199
G346	Detroit_River	1	88	150	Gut	Pumpkinseed	Detroit_RiverGut	Detroit_RiverPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	200
G347	Detroit_River	1	12.9	90	Gut	Pumpkinseed	Detroit_RiverGut	Detroit_RiverPumpkinseed	GutPumpkinseed	Invertivore_carnivores	C	Benthopelagic	201
G348	Detroit_River	1	95.3	170	Gut	Rock_Bass	Detroit_RiverGut	Detroit_RiverRock_Bass	GutRock_Bass	Invertivore_carnivores	C	Benthopelagic	202
G349	Detroit_River	1	11.8	80	Gut	Rock_Bass	Detroit_RiverGut	Detroit_RiverRock_Bass	GutRock_Bass	Invertivore_carnivores	C	Benthopelagic	203
