Sample_Id	Sample	Locations	Fishname	Diet	Habitats	Weight	shannon_entropy	Chao1	PD	  Axis 1	   Axis 2	   Axis 3	  Axis 4	   Axis 5	Pres
167	G182	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	2.81	5.146714136	1.99	1.25	6.8553	25.514	6.119	11.295	15.886	Yes
168	G183	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	2.82	5.812069474	2.04	1.2	-17.315	20.605	17.428	-4.9191	10.339	Yes
169	G184	Lake_Ontario	White_Bass	Invertivore_carnivores	Benthopelagic	2.85	6.746090483	2.29	1.4	-21.414	24.606	4.3061	7.2666	-2.5584	Yes
170	G185	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.81	2.363052609	1.51	0.83	-15.153	2.2833	-21.356	-28.686	-1.8211	Yes
171	G194	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.16	4.94213222	1.79	0.97	-32.386	-10.194	-4.2924	-15.988	6.8874	Yes
172	G195	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.45	3.729398118	1.75	1.1	-25.286	-18.61	-12.65	-14.377	6.2576	Yes
173	G196	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.56	4.348053939	1.94	1.22	-41.38	-19.186	-0.26795	6.9256	-3.2661	Yes
174	G197	Lake_Ontario	Walleye	Invertivore_carnivores	Benthopelagic	4.12	3.811864087	1.56	0.71	-26.918	15.446	8.8648	2.9746	3.8077	Yes
175	G198	Lake_Ontario	Walleye	Invertivore_carnivores	Benthopelagic	4.37	4.169074982	1.63	0.88	-26.878	46.224	15.309	11.546	1.7728	Yes
176	G199	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.81	3.988614085	1.48	0.84	-3.3407	14.732	-15.002	-22.678	7.2552	Yes
177	G200	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.43	4.560831441	1.76	0.96	-41.469	-16.851	-1.2086	9.5072	-1.5183	Yes
178	G201	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.78	3.425354043	1.82	1.1	1.1767	-7.7279	-4.907	-15.217	8.0377	Yes
179	G202	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.54	3.244664582	1.45	0.79	-26.123	-33.922	-15.342	-0.89429	6.0388	Yes
180	G203	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.55	4.630027944	1.82	0.94	-15.783	0.37835	-20.321	-34.195	-3.2882	Yes
181	G204	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.99	5.317561365	1.97	1.26	-22.726	21.756	-0.068964	-20.333	2.3874	Yes
182	G205	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.23	4.429908871	1.65	1.02	-26.46	-5.2953	-10.482	-18.115	3.4621	Yes
183	G207	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.42	4.832106631	1.79	0.83	-42.16	0.44685	10.053	6.2153	2.2554	Yes
184	G208	Lake_Ontario	Walleye	Invertivore_carnivores	Benthopelagic	4.7	3.0465028	1.54	0.82	-17.951	33.667	3.7937	5.5464	1.4465	Yes
185	G209	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.24	2.860035015	1.49	0.8	-3.2388	19.263	-24.968	-35.79	0.22091	Yes
186	G210	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.81	3.573462575	1.74	0.97	10.67	13.342	2.3896	-28.171	13.362	Yes
187	G211	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.44	3.922187147	1.63	0.89	-20.085	14.141	3.2333	-17.482	10.777	Yes
188	G213	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.45	4.581660314	1.81	0.98	-25.095	-8.9388	3.913	3.7893	10.876	Yes
189	G214	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.36	2.934936454	1.23	0.65	-31.003	-31.518	-15.787	8.2681	-0.52416	Yes
190	G215	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.42	4.091434032	1.53	0.71	-40.052	-23.596	-0.26727	13.396	-1.3632	Yes
191	G216	Lake_Ontario	Brown_Trout	Piscivore	Benthopelagic	4.17	5.323294551	2	1.21	-19.08	-6.5996	10.665	-5.8308	9.6622	Yes
192	G217	Lake_Ontario	Yellow_Perch	Invertivore_carnivores	Benthopelagic	2.97	3.752648293	1.93	1.27	-29.456	38.452	15.891	6.6357	1.6676	Yes
193	G218	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.18	5.089964915	1.9	1.15	-5.7219	-16.06	17.275	-7.6413	13.479	Yes
194	G219	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.22	4.131366367	1.75	0.99	-41.787	8.9817	17.876	9.0532	5.6243	Yes
195	G220	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.08	3.189195538	1.4	0.8	5.9366	18.449	-28.269	8.0036	10.771	Yes
196	G221	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.26	4.147817122	2.03	1.18	-41.674	5.1057	10.502	12.759	0.65605	Yes
197	G222	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.85	4.913315658	1.86	0.87	-37.716	6.6823	4.8042	-8.338	3.9471	Yes
198	G223	Lake_Ontario	White_Sucker	Invertivore_detritivore	Benthic	3.53	4.186922828	2.06	1.21	-39.739	12.319	13.965	20.665	-4.2448	Yes
199	G224	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	2.81	4.175348578	1.83	0.81	-26.369	43.223	14.106	13.54	-3.1986	Yes
200	G225	Lake_Ontario	White_Perch	Invertivore_carnivores	Benthopelagic	2.89	3.514089621	2.28	1.43	-31.992	31.233	12.701	15.332	-5.695	Yes
201	G226	Lake_Ontario	Freshwater_Drum	Invertivore_carnivores	Benthic	3.14	5.727091374	2.09	1.33	-8.1876	-4.9509	21.327	-0.31082	5.2987	Yes
202	G227	Lake_Ontario	Alewife	Planktivore	Pelagic	2.59	5.623924471	2.15	1.37	-11.292	-19.311	4.8772	-3.2735	4.0747	Yes
203	G228	Lake_Ontario	Alewife	Planktivore	Pelagic	2.52	3.220178898	1.63	1.07	-14.186	11.048	-14.947	-20.963	-2.2532	Yes
204	G229	Lake_Ontario	Alewife	Planktivore	Pelagic	2.53	3.571690457	1.62	0.83	-34.738	-18.116	-13.001	-10.131	-1.0862	Yes
205	G230	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.75	2.760218914	1.79	1.09	-6.9853	12.729	-27.477	-38.067	-2.1018	Yes
206	G231	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.63	3.364296807	1.43	0.72	-35.738	-36.2	-9.054	1.0484	1.9953	Yes
207	G232	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.47	5.463230176	1.88	1.2	-17.073	7.0789	-9.1652	-28.061	-3.8532	Yes
208	G234	Lake_Ontario	Lake_Trout	Piscivore	Benthopelagic	4.33	5.433349282	2.01	1.35	-16.623	13.51	-9.801	-19.606	-2.2417	Yes
209	G235	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.66	5.720890715	2.27	1.51	-30.968	-6.6457	-4.7016	-3.8518	-5.8907	Yes
210	G236	Lake_Ontario	Alewife	Planktivore	Pelagic	2.41	1.405513058	1.18	0.76	-1.8275	11.91	-21.117	-20.259	2.8369	Yes
211	G237	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.66	3.714983241	1.64	0.86	-25.846	-4.8497	-16.14	-34.356	4.5832	Yes
212	G238	Lake_Ontario	Alewife	Planktivore	Pelagic	2.22	5.676640054	2.03	1.27	6.5284	12.513	-13.616	-8.8684	0.33205	Yes
213	G240	Lake_Ontario	Alewife	Planktivore	Pelagic	2.6	4.895946262	1.76	0.83	-44.272	-10.628	3.9325	11.92	-0.82042	Yes
214	G241	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.62	3.77462719	1.52	0.78	-21.802	-31.582	-11.827	0.4366	10.488	Yes
215	G242	Lake_Ontario	Alewife	Planktivore	Pelagic	2.48	4.911803171	1.83	1.04	-40.238	-1.7341	5.0156	-1.5026	3.3715	Yes
216	G243	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.59	5.851609865	2.17	1.36	-29.256	9.3095	3.0317	-7.3169	-2.2915	Yes
217	G244	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.64	5.095497971	1.81	1.14	-2.9722	15.462	-14.368	-12.413	-5.7773	Yes
218	G245	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.67	5.17459192	1.93	1.23	-25.764	-8.4366	-7.9295	-11.182	-3.2189	Yes
219	G246	Lake_Ontario	Alewife	Planktivore	Pelagic	2.46	5.128075516	1.81	1.14	-21.566	-1.5926	-10.283	-12.416	0.5041	Yes
220	G247	Lake_Ontario	Alewife	Planktivore	Pelagic	2.52	4.263093685	1.59	0.84	-14.579	-31.453	3.213	-2.4218	16.462	Yes
221	G248	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.6	5.868870063	2.46	1.63	-26.877	-8.3334	-8.8252	0.079819	-11.569	Yes
222	G249	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.58	3.919348888	1.62	0.89	-16.768	-33.947	-7.4772	3.776	12.32	Yes
223	G250	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.62	5.66618377	2.08	1.36	-21.843	-4.0021	-10.472	-11.831	-5.4778	Yes
224	G251	Lake_Ontario	Alewife	Planktivore	Pelagic	2.22	4.779736558	1.76	1.05	-30.763	-21.83	-2.1782	-1.5062	2.1674	Yes
225	G252	Lake_Ontario	Alewife	Planktivore	Pelagic	2.57	4.645271288	1.94	1.29	-0.59682	18.373	-19.921	-6.9684	-12.109	Yes
226	G254	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.56	5.358008675	2.08	1.35	-27.683	-11.503	-7.6538	-9.2967	-2.7841	Yes
227	G255	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.67	4.426169116	2.03	1.33	-26.244	-31.764	-5.8917	6.6868	-0.44992	Yes
228	G256	Lake_Ontario	Round_Goby	Invertivore	Benthic	2.62	4.584239438	2.21	1.42	-32.706	19.406	7.3724	0.55352	-2.7985	Yes
239	G289	Detroit_River	Gizzard_shad	Herbivore	Pelagic	1.81	4.193776899	1.71	0.76	20.091	9.902	20.446	0.75428	-14.73	No
240	G290	Detroit_River	Gizzard_shad	Herbivore	Pelagic	1.67	6.252529798	2.39	1.54	17.329	-2.2401	6.1831	0.41833	-35.779	No
241	G291	Detroit_River	Gizzard_shad	Herbivore	Pelagic	1.91	6.277992839	2.35	1.54	24.005	5.1616	-6.1224	1.2014	-30.694	No
242	G292	Detroit_River	Gizzard_shad	Herbivore	Pelagic	1.62	3.22732877	2.14	1.38	22.558	1.9991	0.4202	-3.1925	-13.943	No
243	G293	Detroit_River	Gizzard_shad	Herbivore	Pelagic	1.91	3.257221518	1.36	0.72	3.4551	12.073	-21.923	-6.57	-14.307	No
244	G294	Detroit_River	Gizzard_shad	Herbivore	Pelagic	2.05	6.895999041	2.45	1.6	23.803	2.2822	-1.057	-1.5128	-36.768	No
245	G295	Detroit_River	Gizzard_shad	Herbivore	Pelagic	1.69	5.742960159	2.35	1.55	21.621	1.853	-0.82843	-0.18926	-32.094	No
246	G296	Detroit_River	Gizzard_shad	Herbivore	Pelagic	2.36	7.278069199	2.56	1.62	13.024	7.5733	0.061721	0.93586	-38.34	No
247	G297	Detroit_River	Gizzard_shad	Herbivore	Pelagic	2.2	5.567759313	2.06	1.33	30.851	-0.81607	2.7992	-0.95913	-12.547	No
248	G298	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	2.32	4.524312811	1.68	1.07	15.892	4.1823	-9.0893	-4.6952	-2.6946	No
249	G299	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	2.27	6.396544681	2.4	1.56	18.017	-7.2106	7.1244	-1.5015	-35.184	No
250	G300	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	1.98	5.98117023	2.22	1.46	25.914	-5.3833	5.2771	-7.3956	-11.481	No
251	G301	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	2.23	6.409653331	2.42	1.61	12.739	-6.7377	0.59571	-3.4305	-24.209	No
252	G302	Detroit_River	White_Sucker	Invertivore_detritivore	Benthic	2.15	5.752706922	2.42	1.59	16.222	9.2079	-13.44	3.6363	-34.967	No
253	G303	Detroit_River	White_Sucker	Invertivore_detritivore	Benthic	1.81	5.068358704	1.9	1.17	27.464	-4.394	5.1816	-4.7022	1.3591	No
254	G304	Detroit_River	Rock_Bass	Invertivore_carnivores	Benthopelagic	1.38	4.308406633	2.14	1.37	19.656	11.304	7.9027	-4.8359	-15.57	No
255	G305	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.3	6.544771029	2.4	1.57	25.765	3.9432	5.2354	-0.16616	-34.92	No
256	G306	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.51	6.098758545	2.25	1.45	29.575	-1.6068	4.3094	-1.2342	-27.176	No
257	G307	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.49	5.02034546	2.04	1.34	36.693	-6.3173	12.732	-6.8661	-5.775	No
258	G308	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.54	4.654025184	1.9	1.24	41.389	-6.0896	15.494	-8.6124	1.8398	No
259	G309	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.4	5.139872833	2	1.29	32.946	-9.039	13.597	-6.353	-17.024	No
260	G310	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.48	4.648934471	2.05	1.33	33.375	-10.267	17.025	-7.4574	-12.038	No
261	G311	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.4	6.172297423	2.43	1.57	25.187	0.19509	3.4316	-0.29596	-37.756	No
262	G312	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.54	3.493218874	1.53	0.98	39.921	-12.145	19.726	-8.078	13.325	No
263	G313	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.4	6.058617739	2.4	1.54	20.423	-1.5303	7.9662	-1.9852	-36.227	No
264	G314	Detroit_River	Yellow_perch	Invertivore_carnivores	Benthopelagic	1.4	4.030314272	1.82	1.16	37.681	-8.0335	21.171	-9.0182	-3.252	No
265	G315	Detroit_River	White_Sucker	Invertivore_detritivore	Benthic	2.38	5.322275984	2.25	1.4	-7.8384	19.1	9.2261	-1.6369	-12.728	No
266	G317	Detroit_River	Freshwater_drum	Invertivore_carnivores	Benthic	3.96	5.51350938	2.37	1.55	29.375	1.9705	3.7944	5.2033	-20.916	No
267	G318	Detroit_River	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.13	4.048040935	2	1.29	23.938	-3.6122	20.64	-6.1195	-9.8647	No
268	G319	Detroit_River	Emerald	Planktivore	Benthopelagic	1	3.72572103	1.67	1.06	35.984	-9.2771	22.505	-8.8672	6.7627	No
269	G320	Detroit_River	Emerald	Planktivore	Benthopelagic	1	5.789852095	2.4	1.59	24.03	-0.76594	7.9504	1.7511	-31.504	No
270	G321	Detroit_River	Emerald	Planktivore	Benthopelagic	1	4.956900023	2.1	1.42	35.098	-5.5871	16.471	-5.7279	-4.7926	No
271	G322	Detroit_River	Emerald	Planktivore	Benthopelagic	1	5.980142908	2.45	1.55	-6.09	-17.947	7.5822	13.593	-27.897	No
272	G323	Detroit_River	Emerald	Planktivore	Benthopelagic	1.08	4.791615846	1.85	1.15	29.881	-11.415	15.37	-8.7859	-4.0422	No
273	G324	Detroit_River	Brook_silverside_fish	Planktivore / invertivore	Pelagic	1.04	4.479016772	1.75	1.08	33.857	-10.492	16.118	-10.592	-0.070963	No
274	G325	Detroit_River	Brook_silverside_fish	Planktivore / invertivore	Pelagic	1.04	4.238857914	1.79	1.18	33.623	-7.23	20.189	-4.4155	3.3691	No
275	G326	Detroit_River	Brook_silverside_fish	Planktivore / invertivore	Pelagic	1	4.230751863	1.92	1.29	33.155	-9.8382	21.861	-7.018	-0.12013	No
276	G327	Detroit_River	Brook_silverside_fish	Planktivore / invertivore	Pelagic	1	4.502096506	1.91	1.23	28.523	-9.0993	20.936	-5.8969	-3.8068	No
277	G328	Detroit_River	Brook_silverside_fish	Planktivore / invertivore	Pelagic	1	3.7651476	1.64	1.02	35.325	-12.453	21.566	-9.1307	2.2032	No
278	G329	Detroit_River	Brook_silverside_fish	Planktivore / invertivore	Pelagic	1.08	4.357124515	1.98	1.25	4.8117	23.009	14.965	6.7905	1.248	No
279	G330	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	4.292347755	2.02	1.22	-23.691	-18.596	10.792	19.63	-0.81173	No
280	G331	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	5.6207736	2.21	1.41	-3.2762	-25.709	8.5442	6.681	-17.788	No
281	G332	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	3.19203043	1.28	0.63	1.3377	8.1117	-19.707	-7.7246	-12.091	No
282	G333	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	5.154241065	2.25	1.43	4.7387	-16.212	19.8	-1.1073	-19.859	No
283	G334	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	5.115998373	2.15	1.34	-7.8855	-29.429	14.009	13.7	-13.227	No
284	G335	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	4.108809924	1.77	0.98	-10.299	-35.314	8.7377	14.573	-5.2898	No
285	G336	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	5.085683627	2.11	1.35	14.247	-19.452	15.723	-4.9697	-15.422	No
286	G337	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	4.706918318	1.92	1.25	24.177	-5.7775	22.442	-5.3456	-0.6432	No
287	G338	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	4.065686431	1.75	1.1	31.148	-10.172	22.262	-8.0703	-3.7657	No
288	G339	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	5.952522136	2.32	1.49	18.707	-7.9857	9.1182	-6.5515	-27.146	No
289	G340	Detroit_River	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.66	5.367537172	2.12	1.42	22.126	-5.9158	15.327	-3.2573	-9.556	No
290	G342	Detroit_River	White_Sucker	Invertivore_detritivore	Benthic	2.54	5.821756555	2.17	1.39	24.451	-5.9385	5.1824	-2.0359	-16.738	No
291	G343	Detroit_River	White_Sucker	Invertivore_detritivore	Benthic	1.85	4.984965515	1.95	1.26	6.0178	-26.258	18.536	-4.0669	2.9973	No
292	G345	Detroit_River	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.66	3.51905618	1.92	1.18	9.0096	26.081	21.343	10.585	7.6029	No
293	G346	Detroit_River	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.94	3.825172244	1.58	0.89	25.957	3.2934	14.285	-4.109	-13.233	No
294	G347	Detroit_River	Pumpkinseed	Invertivore_carnivores	Benthopelagic	2.11	4.704187412	2.03	1.29	18.402	-19.509	19.023	-6.4991	-13.122	No
295	G348	Detroit_River	Rock_Bass	Invertivore_carnivores	Benthopelagic	2.98	2.265811493	1.67	0.94	16.887	5.5836	9.5618	-3.1059	1.6971	No
296	G349	Detroit_River	Rock_Bass	Invertivore_carnivores	Benthopelagic	2.07	4.368008698	2.05	1.27	9.3418	18.956	30.607	1.5069	-4.5011	No
297	G350	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	2.36	3.809630321	1.49	1	22.703	0.036709	-2.5682	-5.3714	22.453	No
298	G351	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	2.44	4.160979803	1.69	1.04	24.183	0.92248	0.78514	-5.9199	13.709	No
299	G353	Detroit_River	Blacknose_shiner	Invertivore/herbivore	Benthopelagic	1	4.871872015	1.92	1.31	30.958	-2.7366	6.993	-4.0367	10.683	No
300	G354	Detroit_River	Brook_silverside_fish	Planktivore / invertivore	Pelagic	0.95	4.465607122	1.85	1.19	32.289	-8.8438	17.826	-5.9862	3.3623	No
301	G355	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	1.67	7.370702346	2.59	1.69	22.264	6.1043	-9.3396	3.6098	-30.908	No
302	G356	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	1.63	7.000294246	2.54	1.69	22.685	3.7688	-2.8424	2.3338	-29.563	No
303	G357	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	1.73	5.085909026	2.13	1.41	27.802	-6.8225	17.044	-1.6154	-13.438	No
304	G358	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	1.65	4.452468363	1.91	1.25	19.958	-18.704	22.287	-7.6101	-5.5082	No
305	G359	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	1.49	4.55971107	1.91	1.19	13.236	-21.345	21.883	-4.3449	-6.901	No
306	G360	Detroit_River	Spotfin_shiner	Invertivore/herbivore	Benthopelagic	1.6	7.562131652	2.73	1.9	1.088	13.59	-21.278	-5.1316	-13.805	No
