Sample	observed_features	faith_pd	chao1	shannon_entropy	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype	Preservation
G170	87	10.94469025	87	4.447262859	Lake_Ontario	3	NA	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G172	54	8.278092892	54	4.505418948	Lake_Ontario	3	185.86	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G173	96	12.48658765	96	3.930910371	Lake_Ontario	3	154.32	241	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G174	53	5.887391171	53	4.512268446	Lake_Ontario	3	578.84	411	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	RNA_Later
G175	131	20.41337158	131	3.962165511	Lake_Ontario	3	121.43	224	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G176	99	13.61871944	99	4.545295884	Lake_Ontario	3	153.7	242	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G177	110	11.96399305	110	4.75913277	Lake_Ontario	3	135.66	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G178	74	10.18193339	74	4.453405008	Lake_Ontario	3	NA	NA	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G179	61	11.20503729	61	5.010782032	Lake_Ontario	3	89.32	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G180	77	10.93187467	77	4.837312079	Lake_Ontario	3	120.98	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G181	150	24.50640265	150	5.815558127	Lake_Ontario	3	50.14	NA	Gut	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioGut	GutPumpkinseed	RNA_Later
G182	98	17.94590127	98	5.146714136	Lake_Ontario	3	64.76	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G183	110	15.90111819	110	5.812069474	Lake_Ontario	3	66.41	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G184	197	25.37669673	197	6.746090483	Lake_Ontario	3	71.42	NA	Gut	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioGut	GutWhite_Bass	RNA_Later
G185	32	6.769765345	32	2.363052609	Lake_Ontario	3	NA	NA	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G194	62	9.438734407	62	4.94213222	Lake_Ontario	3	1437.55	457	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G195	56	12.66458839	56	3.729398118	Lake_Ontario	3	2807.94	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G196	87	16.77991175	87	4.348053939	Lake_Ontario	3	36.07	137	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G197	36	5.167987446	36	3.811864087	Lake_Ontario	3	1308.25	489	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	RNA_Later
G198	43	7.664286594	43	4.169074982	Lake_Ontario	3	2335.69	588	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	RNA_Later
G199	30	6.961514218	30	3.988614085	Lake_Ontario	3	NA	NA	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G200	58	9.073574192	58	4.560831441	Lake_Ontario	3	2686.56	537	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G201	66	12.4729384	66	3.425354043	Lake_Ontario	3	6070.08	845	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G202	28	6.206247606	28	3.244664582	Lake_Ontario	3	3444.35	663	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G203	66	8.635918061	66	4.630027944	Lake_Ontario	3	3550.77	675	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G204	94	18.13914928	94	5.317561365	Lake_Ontario	3	97.61	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G205	45	10.47515017	45	4.429908871	Lake_Ontario	3	1707.33	491	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G207	61	6.816286391	61	4.832106631	Lake_Ontario	3	2613.71	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G208	35	6.54820824	35	3.0465028	Lake_Ontario	3	4963.61	752	Gut	Walleye	Lake_OntarioWalleye	Lake_OntarioGut	GutWalleye	RNA_Later
G209	31	6.275077362	31	2.860035015	Lake_Ontario	3	1732.75	551	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G210	55	9.383446813	55	3.573462575	Lake_Ontario	3	6430.43	836	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G211	43	7.796035581	43	3.922187147	Lake_Ontario	3	2768.91	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G213	65	9.524136108	65	4.581660314	Lake_Ontario	3	2811.34	NA	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G214	17	4.492675983	17	2.934936454	Lake_Ontario	3	2278.18	558	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G215	34	5.081743766	34	4.091434032	Lake_Ontario	3	2602.86	617	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G216	99	16.25849621	99	5.323294551	Lake_Ontario	3	1481.82	460	Gut	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioGut	GutBrown_Trout	RNA_Later
G217	86	18.47726496	86	3.752648293	Lake_Ontario	3	92.58	NA	Gut	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioGut	GutYellow_Perch	RNA_Later
G218	80	13.97925411	80	5.089964915	Lake_Ontario	3	150.6	238	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G219	56	9.797419732	56	4.131366367	Lake_Ontario	3	167.28	250	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G220	25	6.365508675	25	3.189195538	Lake_Ontario	3	119.42	225	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G221	108	15.22316968	108	4.147817122	Lake_Ontario	3	183.59	262	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G222	72	7.487677274	72	4.913315658	Lake_Ontario	3	708.1	407	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G223	115	16.1159524	115	4.186922828	Lake_Ontario	3	337.57	NA	Gut	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioGut	GutWhite_Sucker	RNA_Later
G224	68	6.479059856	68	4.175348578	Lake_Ontario	3	64.02	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G225	190	26.6852367	190	3.514089621	Lake_Ontario	3	77.41	NA	Gut	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioGut	GutWhite_Perch	RNA_Later
G226	122	21.59076093	122	5.727091374	Lake_Ontario	3	139.44	230	Gut	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioGut	GutFreshwater_Drum	RNA_Later
G227	142	23.2965602	142	5.623924471	Lake_Ontario	3	39	154	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G228	43	11.75216749	43	3.220178898	Lake_Ontario	3	33	150	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G229	42	6.739603192	42	3.571690457	Lake_Ontario	3	34	148	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G230	61	12.34339996	61	2.760218914	Lake_Ontario	3	5635.09	768	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G231	27	5.255315033	27	3.364296807	Lake_Ontario	3	42.61	145	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G232	76	15.80288141	76	5.463230176	Lake_Ontario	3	2928.81	641	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G234	103	22.23033707	103	5.433349282	Lake_Ontario	3	2158.52	584	Gut	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioGut	GutLake_Trout	RNA_Later
G235	185	32.3864855	185	5.720890715	Lake_Ontario	3	45.41	147	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G236	15	5.757066955	15	1.405513058	Lake_Ontario	3	26	130	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G237	44	7.181389221	44	3.714983241	Lake_Ontario	3	45.39	146	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G238	108	18.41091497	108	5.676640054	Lake_Ontario	3	16.5	110	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G240	57	6.742831789	57	4.895946262	Lake_Ontario	3	40	152	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G241	33	6.074579971	33	3.77462719	Lake_Ontario	3	41.89	146	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G242	67	10.89347636	67	4.911803171	Lake_Ontario	3	30	145	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G243	149	22.93407611	149	5.851609865	Lake_Ontario	3	39.29	143	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G244	64	13.89225195	64	5.095497971	Lake_Ontario	3	44.14	148	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G245	86	16.82015115	86	5.17459192	Lake_Ontario	3	46.92	149	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G246	65	13.88268033	65	5.128075516	Lake_Ontario	3	29	155	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G247	39	6.918358591	39	4.263093685	Lake_Ontario	3	33	153	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G248	286	42.65690699	286	5.868870063	Lake_Ontario	3	39.54	137	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G249	42	7.708117222	42	3.919348888	Lake_Ontario	3	38.39	140	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G250	119	23.08122846	119	5.66618377	Lake_Ontario	3	42.16	147	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G251	57	11.12614453	57	4.779736558	Lake_Ontario	3	16.5	110	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G252	88	19.66052158	88	4.645271288	Lake_Ontario	3	37	136	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife	RNA_Later
G254	121	22.6093177	121	5.358008675	Lake_Ontario	3	36.36	142	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G255	108	21.23982824	108	4.426169116	Lake_Ontario	3	47.26	146	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G256	164	26.19592658	164	4.584239438	Lake_Ontario	3	41.89	146	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby	RNA_Later
G258	320	56.68116681	320	6.48503424	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample	RNA_Later
G259	266	46.88934078	266	6.775513729	Detroit_River	1	NA	NA	water	Water_sample	Detroit_RiverWater_sample	Detroit_Riverwater	waterWater_sample	Dry_Ice
G260	237	43.74758151	237	6.408300852	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample	RNA_Later
G261	318	50.37876618	318	6.940009346	Detroit_River	1	NA	NA	water	Water_sample	Detroit_RiverWater_sample	Detroit_Riverwater	waterWater_sample	Dry_Ice
G262	208	41.07830566	208	6.369887065	Lake_Erie	2	NA	NA	water	Water_sample	Lake_ErieWater_sample	Lake_Eriewater	waterWater_sample	Dry_Ice
G263	412	62.79672828	412	7.319843596	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample	RNA_Later
G264	301	48.76539889	301	7.045515047	Detroit_River	1	NA	NA	water	Water_sample	Detroit_RiverWater_sample	Detroit_Riverwater	waterWater_sample	Dry_Ice
G265	448	69.48064537	448	7.274916317	Lake_Erie	2	NA	NA	water	Water_sample	Lake_ErieWater_sample	Lake_Eriewater	waterWater_sample	Dry_Ice
G266	96	22.51012951	96	5.670296326	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample	RNA_Later
G267	490	75.91304656	490	7.500115239	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample	RNA_Later
G289	51	5.704732378	51	4.193776899	Detroit_River	1	6.5	85	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Dry_Ice
G290	246	34.69728471	246	6.252529798	Detroit_River	1	4.7	75	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Dry_Ice
G291	225	34.30984303	225	6.277992839	Detroit_River	1	8.1	100	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Dry_Ice
G292	139	24.26454278	139	3.22732877	Detroit_River	1	4.2	80	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Dry_Ice
G293	23	5.248238855	23	3.257221518	Detroit_River	1	8.1	105	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Dry_Ice
G294	284	40.21824488	284	6.895999041	Detroit_River	1	11.2	100	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Dry_Ice
G295	223	35.55530928	223	5.742960159	Detroit_River	1	4.9	80	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Dry_Ice
G296	360	41.65450642	360	7.278069199	Detroit_River	1	23	110	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Dry_Ice
G297	115	21.52168336	115	5.567759313	Detroit_River	1	16	100	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad	Dry_Ice
G298	48	11.68746056	48	4.524312811	Detroit_River	1	20.8	130	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G299	253	36.31428645	253	6.396544681	Detroit_River	1	18.8	120	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G300	167	29.02383463	167	5.98117023	Detroit_River	1	9.6	100	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G301	263	40.72168987	263	6.409653331	Detroit_River	1	17	120	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G302	266	39.09760996	266	5.752706922	Detroit_River	1	14	89	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Dry_Ice
G303	79	14.94475566	79	5.068358704	Detroit_River	1	6.4	80	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Dry_Ice
G304	137	23.1808939	137	4.308406633	Detroit_River	1	2.4	50	Gut	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverGut	GutRock_Bass	Dry_Ice
G305	251	36.93529901	251	6.544771029	Detroit_River	1	2	60	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G306	176	28.24567889	176	6.098758545	Detroit_River	1	3.2	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G307	109	21.92094786	109	5.02034546	Detroit_River	1	3.1	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G308	79	17.55638917	79	4.654025184	Detroit_River	1	3.5	70	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G309	99	19.32599833	99	5.139872833	Detroit_River	1	2.5	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G310	113	21.20636124	113	4.648934471	Detroit_River	1	3	70	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G311	269	37.3746881	269	6.172297423	Detroit_River	1	2.5	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G312	34	9.533539823	34	3.493218874	Detroit_River	1	3.5	75	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G313	249	34.59163154	249	6.058617739	Detroit_River	1	2.5	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G314	66	14.53720992	66	4.030314272	Detroit_River	1	2.5	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch	Dry_Ice
G315	176	25.09381589	176	5.322275984	Detroit_River	1	241	300	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Dry_Ice
G317	234	35.44589317	234	5.51350938	Detroit_River	1	90	180	Gut	Freshwater_drum	Detroit_RiverFreshwater_drum	Detroit_RiverGut	GutFreshwater_drum	Dry_Ice
G318	99	19.69939899	99	4.048040935	Detroit_River	1	13.4	90	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Dry_Ice
G319	47	11.56553033	47	3.72572103	Detroit_River	1	1	50	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Dry_Ice
G320	254	38.71882502	254	5.789852095	Detroit_River	1	1	50	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Dry_Ice
G321	125	26.1869612	125	4.956900023	Detroit_River	1	1	60	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Dry_Ice
G322	283	35.40274287	283	5.980142908	Detroit_River	1	1	60	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Dry_Ice
G323	70	14.22870936	70	4.791615846	Detroit_River	1	1.2	70	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald	Dry_Ice
G324	56	12.00851556	56	4.479016772	Detroit_River	1	1.1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Dry_Ice
G325	61	15.17502418	61	4.238857914	Detroit_River	1	1.1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Dry_Ice
G326	83	19.38774886	83	4.230751863	Detroit_River	1	1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Dry_Ice
G327	81	16.85854763	81	4.502096506	Detroit_River	1	1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Dry_Ice
G328	44	10.46526425	44	3.7651476	Detroit_River	1	1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Dry_Ice
G329	96	17.78620309	96	4.357124515	Detroit_River	1	1.2	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Dry_Ice
G330	104	16.71312265	104	4.292347755	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G331	164	25.78640862	164	5.6207736	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G332	19	4.284288847	19	3.19203043	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G333	179	27.09229295	179	5.154241065	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G334	140	22.06451921	140	5.115998373	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G335	59	9.644114117	59	4.108809924	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G336	130	22.26421579	130	5.085683627	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G337	83	17.79728389	83	4.706918318	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G338	56	12.64860893	56	4.065686431	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G339	207	30.67218472	207	5.952522136	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G340	133	26.01964516	133	5.367537172	Detroit_River	1	46	130	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Dry_Ice
G342	148	24.74842337	148	5.821756555	Detroit_River	1	34.6	150	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Dry_Ice
G343	89	18.04186413	89	4.984965515	Detroit_River	1	7	90	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker	Dry_Ice
G345	84	15.06624887	84	3.51905618	Detroit_River	1	46	130	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Dry_Ice
G346	38	7.681739463	38	3.825172244	Detroit_River	1	88	150	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Dry_Ice
G347	106	19.46773785	106	4.704187412	Detroit_River	1	12.9	90	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed	Dry_Ice
G348	47	8.710747779	47	2.265811493	Detroit_River	1	95.3	170	Gut	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverGut	GutRock_Bass	Dry_Ice
G349	111	18.74373198	111	4.368008698	Detroit_River	1	11.8	80	Gut	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverGut	GutRock_Bass	Dry_Ice
G350	31	9.933098858	31	3.809630321	Detroit_River	1	23	130	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G351	49	10.87562087	49	4.160979803	Detroit_River	1	27.5	130	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G353	83	20.19523861	83	4.871872015	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner	Dry_Ice
G354	70	15.54257993	70	4.465607122	Detroit_River	1	0.9	60	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish	Dry_Ice
G355	387	49.25983177	387	7.370702346	Detroit_River	1	4.7	80	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G356	344	49.11392911	344	7.000294246	Detroit_River	1	4.3	80	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G357	134	25.57261842	134	5.085909026	Detroit_River	1	5.4	90	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G358	81	17.76320237	81	4.452468363	Detroit_River	1	4.5	80	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G359	81	15.56836382	81	4.55971107	Detroit_River	1	3.1	60	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
G360	533	79.91065646	533	7.562131652	Detroit_River	1	4	75	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner	Dry_Ice
S1	152	30.69502379	152	4.90240449	Detroit_River	1			Skin	Freshwater_drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum	Dry_Ice
S2	55	13.06557036	55	4.861616236	Detroit_River	1			Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker	Dry_Ice
