	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype
G237	Lake_Ontario	3	45.39	146	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G238	Lake_Ontario	3	16.5	110	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G240	Lake_Ontario	3	40	152	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G241	Lake_Ontario	3	41.89	146	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G242	Lake_Ontario	3	30	145	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G243	Lake_Ontario	3	39.29	143	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G244	Lake_Ontario	3	44.14	148	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G245	Lake_Ontario	3	46.92	149	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G246	Lake_Ontario	3	29	155	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G247	Lake_Ontario	3	33	153	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G248	Lake_Ontario	3	39.54	137	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G249	Lake_Ontario	3	38.39	140	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G250	Lake_Ontario	3	42.16	147	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G251	Lake_Ontario	3	16.5	110	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G252	Lake_Ontario	3	37	136	Gut	Alewife	Lake_OntarioAlewife	Lake_OntarioGut	GutAlewife
G254	Lake_Ontario	3	36.36	142	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G255	Lake_Ontario	3	47.26	146	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G256	Lake_Ontario	3	41.89	146	Gut	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioGut	GutRound_Goby
G258	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample
G259	Detroit_River	1	NA	NA	water	Water_sample	Detroit_RiverWater_sample	Detroit_Riverwater	waterWater_sample
G260	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample
G261	Detroit_River	1	NA	NA	water	Water_sample	Detroit_RiverWater_sample	Detroit_Riverwater	waterWater_sample
G262	Lake_Erie	2	NA	NA	water	Water_sample	Lake_ErieWater_sample	Lake_Eriewater	waterWater_sample
G263	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample
G264	Detroit_River	1	NA	NA	water	Water_sample	Detroit_RiverWater_sample	Detroit_Riverwater	waterWater_sample
G265	Lake_Erie	2	NA	NA	water	Water_sample	Lake_ErieWater_sample	Lake_Eriewater	waterWater_sample
G266	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample
G267	Lake_Ontario	3	NA	NA	water	Water_sample	Lake_OntarioWater_sample	Lake_Ontariowater	waterWater_sample
G289	Detroit_River	1	6.5	85	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad
G290	Detroit_River	1	4.7	75	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad
G291	Detroit_River	1	8.1	100	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad
G292	Detroit_River	1	4.2	80	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad
G293	Detroit_River	1	8.1	105	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad
G294	Detroit_River	1	11.2	100	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad
G295	Detroit_River	1	4.9	80	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad
G296	Detroit_River	1	23	110	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad
G297	Detroit_River	1	16	100	Gut	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverGut	GutGizzard_shad
G298	Detroit_River	1	20.8	130	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G299	Detroit_River	1	18.8	120	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G300	Detroit_River	1	9.6	100	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G301	Detroit_River	1	17	120	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G302	Detroit_River	1	14	89	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker
G303	Detroit_River	1	6.4	80	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker
G304	Detroit_River	1	2.4	50	Gut	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverGut	GutRock_Bass
G305	Detroit_River	1	2	60	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G306	Detroit_River	1	3.2	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G307	Detroit_River	1	3.1	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G308	Detroit_River	1	3.5	70	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G309	Detroit_River	1	2.5	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G310	Detroit_River	1	3	70	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G311	Detroit_River	1	2.5	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G312	Detroit_River	1	3.5	75	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G313	Detroit_River	1	2.5	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G314	Detroit_River	1	2.5	65	Gut	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverGut	GutYellow_perch
G315	Detroit_River	1	241	300	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker
G317	Detroit_River	1	90	180	Gut	Freshwater_drum	Detroit_RiverFreshwater_drum	Detroit_RiverGut	GutFreshwater_drum
G318	Detroit_River	1	13.4	90	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed
G319	Detroit_River	1	1	50	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald
G320	Detroit_River	1	1	50	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald
G321	Detroit_River	1	1	60	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald
G322	Detroit_River	1	1	60	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald
G323	Detroit_River	1	1.2	70	Gut	Emerald	Detroit_RiverEmerald	Detroit_RiverGut	GutEmerald
G324	Detroit_River	1	1.1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish
G325	Detroit_River	1	1.1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish
G326	Detroit_River	1	1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish
G327	Detroit_River	1	1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish
G328	Detroit_River	1	1	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish
G329	Detroit_River	1	1.2	65	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish
G330	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G331	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G332	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G333	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G334	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G335	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G336	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G337	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G338	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G339	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G340	Detroit_River	1	46	130	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed
G342	Detroit_River	1	34.6	150	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker
G343	Detroit_River	1	7	90	Gut	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverGut	GutWhite_Sucker
G345	Detroit_River	1	46	130	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed
G346	Detroit_River	1	88	150	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed
G347	Detroit_River	1	12.9	90	Gut	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverGut	GutPumpkinseed
G348	Detroit_River	1	95.3	170	Gut	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverGut	GutRock_Bass
G349	Detroit_River	1	11.8	80	Gut	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverGut	GutRock_Bass
G350	Detroit_River	1	23	130	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G351	Detroit_River	1	27.5	130	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G353	Detroit_River	1	1	50	Gut	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverGut	GutBlacknose_shiner
G354	Detroit_River	1	0.9	60	Gut	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverGut	GutBrook_silverside_fish
G355	Detroit_River	1	4.7	80	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G356	Detroit_River	1	4.3	80	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G357	Detroit_River	1	5.4	90	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G358	Detroit_River	1	4.5	80	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G359	Detroit_River	1	3.1	60	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
G360	Detroit_River	1	4	75	Gut	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverGut	GutSpotfin_shiner
S1	Detroit_River	1	NA	NA	Skin	Freshwater_drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum
S2	Detroit_River	1	NA	NA	Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker
S3	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S4	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S5	Detroit_River	1	NA	NA	Skin	Freshwater_drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum
S6	Detroit_River	1	NA	NA	Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker
S8	Detroit_River	1	NA	NA	Skin	Freshwater_drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum
S10	Detroit_River	1	NA	NA	Skin	Freshwater_drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum
S12	Detroit_River	1	NA	NA	Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker
S13	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S15	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S17	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S25	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S28	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S31	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S35	Detroit_River	1	NA	NA	Skin	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass
S36	Detroit_River	1	NA	NA	Skin	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass
S37	Detroit_River	1	NA	NA	Skin	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass
S38	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S39	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S40	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S41	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S42	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S48	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S50	Detroit_River	1	NA	NA	Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker
S54	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S58	Detroit_River	1	NA	NA	Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker
S62	Detroit_River	1	NA	NA	Skin	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass
S63	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S64	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S65	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S66	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S67	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S68	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S69	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S70	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S71	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S72	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S73	Detroit_River	1	NA	NA	Skin	Gizzard_shad	Detroit_RiverGizzard_shad	Detroit_RiverSkin	SkinGizzard_shad
S74	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S75	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S76	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S77	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S78	Detroit_River	1	NA	NA	Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker
S79	Detroit_River	1	NA	NA	Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker
S80	Detroit_River	1	NA	NA	Skin	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass
S81	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S82	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S83	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S84	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S85	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S86	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S87	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S88	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S89	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S90	Detroit_River	1	NA	NA	Skin	Yellow_perch	Detroit_RiverYellow_perch	Detroit_RiverSkin	SkinYellow_perch
S91	Detroit_River	1	NA	NA	Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker
S93	Detroit_River	1	NA	NA	Skin	Freshwater_drum	Detroit_RiverFreshwater_drum	Detroit_RiverSkin	SkinFreshwater_drum
S94	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S95	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S96	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S97	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S98	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S99	Detroit_River	1	NA	NA	Skin	Emerald	Detroit_RiverEmerald	Detroit_RiverSkin	SkinEmerald
S100	Detroit_River	1	NA	NA	Skin	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish
S101	Detroit_River	1	NA	NA	Skin	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish
S102	Detroit_River	1	NA	NA	Skin	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish
S103	Detroit_River	1	NA	NA	Skin	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish
S104	Detroit_River	1	NA	NA	Skin	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish
S105	Detroit_River	1	NA	NA	Skin	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish
S106	Detroit_River	1	NA	NA	Skin	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner
S107	Detroit_River	1	NA	NA	Skin	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner
S108	Detroit_River	1	NA	NA	Skin	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner
S109	Detroit_River	1	NA	NA	Skin	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner
S110	Detroit_River	1	NA	NA	Skin	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner
S111	Detroit_River	1	NA	NA	Skin	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner
S112	Detroit_River	1	NA	NA	Skin	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner
S119	Detroit_River	1	NA	NA	Skin	White_Sucker	Detroit_RiverWhite_Sucker	Detroit_RiverSkin	SkinWhite_Sucker
S121	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S122	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S123	Detroit_River	1	NA	NA	Skin	Pumpkinseed	Detroit_RiverPumpkinseed	Detroit_RiverSkin	SkinPumpkinseed
S124	Detroit_River	1	NA	NA	Skin	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass
S125	Detroit_River	1	NA	NA	Skin	Rock_Bass	Detroit_RiverRock_Bass	Detroit_RiverSkin	SkinRock_Bass
S126	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S127	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S129	Detroit_River	1	NA	NA	Skin	Blacknose_shiner	Detroit_RiverBlacknose_shiner	Detroit_RiverSkin	SkinBlacknose_shiner
S130	Detroit_River	1	NA	NA	Skin	Brook_silverside_fish	Detroit_RiverBrook_silverside_fish	Detroit_RiverSkin	SkinBrook_silverside_fish
S131	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S132	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S133	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S134	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S135	Detroit_River	1	NA	NA	Skin	Spotfin_shiner	Detroit_RiverSpotfin_shiner	Detroit_RiverSkin	SkinSpotfin_shiner
S137	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S138	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S139	Lake_Ontario	3	NA	NA	Skin	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioSkin	SkinRock_Bass
S140	Lake_Ontario	3	NA	NA	Skin	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioSkin	SkinRock_Bass
S142	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S143	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S144	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S147	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S148	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S149	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S150	Lake_Ontario	3	NA	NA	Skin	Rock_Bass	Lake_OntarioRock_Bass	Lake_OntarioSkin	SkinRock_Bass
S151	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S152	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S153	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S155	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S157	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
